Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
245,García,br BRA,DFMF,Palmeiras,20,2002,1.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,45d071f4
246,Bryan García,ec ECU,MF,Atl Paranaense,21,2001,3.1,0.00,1.94,0.00,0.0,1.96,0.00,0.00,,32.8,0.00,0.00,0.00,0.03,0.03,0.02,-0.03,-0.03,Matches,7b66d351
247,Luan Garcia,br BRA,DF,Palmeiras,28,1993,13.6,0.00,0.44,0.00,0.0,0.44,0.00,0.00,,11.3,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches,6ebe6cc1
248,Gaspar,br BRA,FW,Avaí,19,2002,0.4,0.00,10.0,2.50,25.0,9.00,2.25,0.00,0.00,21.1,0.00,0.00,0.00,0.25,0.25,0.03,-0.25,-0.25,Matches,996af9a5
249,Rafael Gava,br BRA,MF,Cuiabá,28,1993,22.7,0.04,1.37,0.35,25.8,1.36,0.35,0.03,0.13,22.1,0.22,0.00,0.00,0.09,0.09,0.07,-0.05,-0.05,Matches,713e1a36
250,Lucas Gazal,br BRA,DF,Atl Goianiense,22,1999,14.5,0.07,0.97,0.21,21.4,0.97,0.21,0.07,0.33,20.3,0.07,0.00,0.00,0.03,0.03,0.03,0.04,0.04,Matches,dcae46d5
251,Guilherme Gehring,br BRA,MF,Juventude,16,2005,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,37faab98
252,Geovane,br BRA,MF,Ceará,22,1999,6.1,0.00,0.66,0.16,25.0,0.65,0.16,0.00,0.00,20.6,0.00,0.00,0.00,0.07,0.07,0.09,-0.07,-0.07,Matches,099a14d5
253,Gil,br BRA,DF,Corinthians,34,1987,22.7,0.00,0.66,0.26,40.0,0.66,0.26,0.00,0.00,10.8,0.00,0.00,0.00,0.05,0.05,0.09,-0.05,-0.05,Matches,31edef00
254,Giovane,br BRA,FWDF,Corinthians,18,2003,3.3,0.00,1.52,0.61,40.0,1.50,0.60,0.00,0.00,23.2,0.00,0.00,0.00,0.12,0.12,0.07,-0.12,-0.12,Matches,1b567cdc
255,Giovani,br BRA,FWMF,Palmeiras,18,2004,0.4,0.00,2.50,0.00,0.0,2.57,0.00,0.00,,28.5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches,a199bd5f
