Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
358,Bernardo Lemes,br BRA,MFFW,Coritiba,20,2002,10.5,0.10,0.00,0.00,1.90,1.62,0.00,0.57,1.52,1.43,0.00,0.00,0.00,6.00,1.05,0.57,64.7,Matches,1ee9a3b6
359,Marcos Leonardo,br BRA,FW,Santos,18,2003,32.0,0.25,0.00,0.00,1.09,2.63,0.59,0.25,0.06,0.06,0.03,0.00,0.00,1.72,1.06,2.22,32.4,Matches,3f47ebce
360,Vitor Leque,br BRA,MFDF,Juventude,21,2001,0.6,3.33,1.67,1.67,3.33,5.00,1.67,1.67,0.00,0.00,0.00,0.00,0.00,1.67,1.67,1.67,50.0,Matches,6ba15719
361,Lima,br BRA,FWMF,Ceará,25,1996,21.5,0.09,0.05,0.00,1.21,2.51,0.14,2.84,0.84,1.07,0.00,0.00,0.00,5.40,0.47,1.26,27.0,Matches,d215c7de
362,Anderson Lima,br BRA,MFFW,São Paulo,22,1999,2.3,1.30,0.00,0.00,4.35,3.48,0.00,2.61,0.43,2.61,0.43,0.00,0.00,2.17,0.43,1.30,25.0,Matches,59be3a74
363,Lucas Lima,br BRA,DFMF,Atl Goianiense,21,2000,1.4,0.00,0.00,0.00,2.86,1.43,0.00,2.86,0.00,1.43,0.00,0.00,0.00,3.57,1.43,1.43,50.0,Matches,c4c45622
364,Lucas Lima,br BRA,MFFW,Fortaleza,31,1990,13.0,0.31,0.00,0.00,1.62,1.85,0.23,6.23,0.31,0.77,0.08,0.00,0.00,5.38,0.15,0.92,14.3,Matches,49d03337
365,Rodrigo Lindoso,br BRA,MF,Ceará,32,1989,9.6,0.63,0.00,0.00,1.25,1.35,0.00,0.42,0.73,0.73,0.00,0.00,0.00,5.21,1.88,1.04,64.3,Matches,7b013540
366,Liziero,br BRA,MF,Internacional,23,1998,5.6,0.54,0.00,0.00,2.68,1.79,0.00,1.25,1.25,2.14,0.00,0.00,0.00,6.96,0.18,0.89,16.7,Matches,318ecb8c
367,David Loiola,br BRA,DF,Ceará,19,2002,4.4,0.45,0.00,0.00,0.91,1.36,0.00,0.45,0.91,0.45,0.00,0.00,0.00,4.32,1.36,1.36,50.0,Matches,eddf365e
368,Marcelo Lomba,br BRA,GK,Palmeiras,35,1986,3.0,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,,Matches,e4835e3c
369,Kevin Lomónaco,ar ARG,DF,Bragantino,20,2002,12.4,0.24,0.00,0.00,1.13,0.73,0.08,0.56,0.73,0.48,0.00,0.00,0.00,6.94,1.13,2.02,35.9,Matches,dd5ddb83
370,José López,ar ARG,FW,Palmeiras,21,2000,6.1,0.49,0.00,0.00,1.15,0.98,1.15,0.49,0.16,0.33,0.00,0.00,0.00,2.46,2.79,3.61,43.6,Matches,e1426a52
371,Henrique Lordelo,br BRA,MFDF,Goiás,21,2000,1.4,1.43,0.71,0.71,6.43,0.71,0.00,0.00,1.43,2.86,0.00,0.00,0.00,9.29,1.43,0.71,66.7,Matches,b63394ba
372,Guillermo de los Santos,uy URU,DF,Coritiba,30,1991,10.5,0.19,0.10,0.00,0.48,0.48,0.00,0.38,1.62,1.14,0.00,0.00,0.00,4.95,2.67,1.62,62.2,Matches,1ac629b0
373,Luan,br BRA,MF,São Paulo,22,1999,1.8,0.56,0.00,0.00,0.56,0.00,0.00,0.00,1.67,0.56,0.00,0.00,0.00,7.78,1.67,0.00,100.0,Matches,12a226cf
374,Luan,br BRA,MF,Goiás,31,1990,0.5,2.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,14.0,0.00,0.00,,Matches,22fc8906
375,Lucão,br BRA,GK,Bragantino,20,2001,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,ebb5a0df
376,Lucas,br BRA,DF,Santos,20,2001,16.2,0.12,0.06,0.00,0.99,0.56,0.06,8.83,0.80,1.36,0.00,0.00,0.00,6.05,0.56,0.74,42.9,Matches,5d68f5b2
377,Ayrton Lucas,br BRA,DF,Flamengo,24,1997,28.4,0.14,0.00,0.00,1.51,1.62,0.00,2.25,0.95,1.37,0.00,0.00,0.00,6.13,0.95,0.70,57.4,Matches,db90b737
378,João Lucas,br BRA,DFMF,Cuiabá,23,1998,23.8,0.34,0.04,0.04,1.60,1.13,0.08,3.53,1.39,1.93,0.00,0.08,0.00,4.75,0.80,1.26,38.8,Matches,289dc81e
379,Luciano,br BRA,FW,São Paulo,28,1993,22.6,0.40,0.00,0.00,1.06,1.50,0.44,0.22,0.31,0.40,0.04,0.00,0.00,3.10,0.84,0.93,47.5,Matches,24ce161c
380,André Luis,br BRA,FWMF,Cuiabá,24,1997,20.4,0.25,0.00,0.00,1.47,2.75,0.15,0.93,0.34,0.64,0.15,0.00,0.00,3.73,1.13,1.08,51.1,Matches,821097f7
